Ulasan,Tanggal_Ulasan,Label,lokasi,tokens,normalisasi,stopword
terkesan,2 tahun lalu,Negatif,api tak kunjung padam,['terkesan'],['terkesan'],['terkesan']
sekitar lima kilometer sebelum masuk kota pamekasan kami mengunjungi api nan kunjung padam api abadi di desa larangan tokol kecamatan tlanakan kabupaten pamekasan,3 tahun lalu,Negatif,api tak kunjung padam,"['sekitar', 'lima', 'kilometer', 'sebelum', 'masuk', 'kota', 'pamekasan', 'kami', 'mengunjungi', 'api', 'nan', 'kunjung', 'padam', 'api', 'abadi', 'di', 'desa', 'larangan', 'tokol', 'kecamatan', 'tlanakan', 'kabupaten', 'pamekasan']","['sekitar', 'lima', 'kilometer', 'sebelum', 'masuk', 'kota', 'pamekasan', 'kami', 'mengunjungi', 'api', 'nan', 'kunjung', 'padam', 'api', 'abadi', 'di', 'desa', 'larangan', 'tokol', 'kecamatan', 'tlanakan', 'kabupaten', 'pamekasan']","['sekitar', 'lima', 'kilometer', 'sebelum', 'masuk', 'kota', 'pamekasan', 'kami', 'mengunjungi', 'api', 'nan', 'kunjung', 'padam', 'api', 'abadi', 'di', 'desa', 'larangan', 'tokol', 'kecamatan', 'tlanakan', 'kabupaten', 'pamekasan']"
api alam juga di sebut api keabadian yg ada di pamekasan,3 tahun lalu,Positif,api tak kunjung padam,"['api', 'alam', 'juga', 'di', 'sebut', 'api', 'keabadian', 'yg', 'ada', 'di', 'pamekasan']","['api', 'alam', 'juga', 'di', 'sebut', 'api', 'keabadian', 'yang', 'ada', 'di', 'pamekasan']","['api', 'alam', 'juga', 'di', 'sebut', 'api', 'keabadian', 'yang', 'ada', 'di', 'pamekasan']"
keren apinya tak bisa padam,5 bulan lalu,Positif,api tak kunjung padam,"['keren', 'apinya', 'tak', 'bisa', 'padam']","['keren', 'apinya', 'tidak', 'bisa', 'padam']","['keren', 'apinya', 'tidak', 'bisa', 'padam']"
apinya benarbenar,setahun lalu,Negatif,api tak kunjung padam,"['apinya', 'benarbenar']","['apinya', 'benarbenar']","['apinya', 'benarbenar']"
unik dan masyarakat disana baik dan sopan,2 tahun lalu,Positif,api tak kunjung padam,"['unik', 'dan', 'masyarakat', 'disana', 'baik', 'dan', 'sopan']","['unik', 'dan', 'masyarakat', 'disana', 'baik', 'dan', 'sopan']","['unik', 'dan', 'masyarakat', 'disana', 'baik', 'dan', 'sopan']"
api menyala di beberapa titik terkesan tidak terawat bahkan gas sampai di luar pagar dan menyala sampai merusak pondasi pagar pembatas,setahun lalu,Negatif,api tak kunjung padam,"['api', 'menyala', 'di', 'beberapa', 'titik', 'terkesan', 'tidak', 'terawat', 'bahkan', 'gas', 'sampai', 'di', 'luar', 'pagar', 'dan', 'menyala', 'sampai', 'merusak', 'pondasi', 'pagar', 'pembatas']","['api', 'menyala', 'di', 'beberapa', 'titik', 'terkesan', 'tidak', 'terawat', 'bahkan', 'gas', 'sampai', 'di', 'luar', 'pagar', 'dan', 'menyala', 'sampai', 'merusak', 'pondasi', 'pagar', 'pembatas']","['api', 'menyala', 'di', 'beberapa', 'titik', 'terkesan', 'tidak', 'terawat', 'bahkan', 'gas', 'sampai', 'di', 'luar', 'pagar', 'dan', 'menyala', 'sampai', 'merusak', 'pondasi', 'pagar', 'pembatas']"
pariwisata alam dpamekasan api tak kunjung padammasyarakat ramah harga souvenir tdk terlampau mahalcoba deh berkunjung pasti anda tdk menyesal joss,2 tahun lalu,Positif,api tak kunjung padam,"['pariwisata', 'alam', 'dpamekasan', 'api', 'tak', 'kunjung', 'padammasyarakat', 'ramah', 'harga', 'souvenir', 'tdk', 'terlampau', 'mahalcoba', 'deh', 'berkunjung', 'pasti', 'anda', 'tdk', 'menyesal', 'joss']","['pariwisata', 'alam', 'dpamekasan', 'api', 'tidak', 'kunjung', 'padammasyarakat', 'ramah', 'harga', 'souvenir', 'tidak', 'terlampau', 'mahalcoba', 'deh', 'berkunjung', 'pasti', 'anda', 'tidak', 'menyesal', 'joss']","['pariwisata', 'alam', 'dpamekasan', 'api', 'tidak', 'kunjung', 'padammasyarakat', 'ramah', 'harga', 'souvenir', 'tidak', 'terlampau', 'mahalcoba', 'deh', 'berkunjung', 'pasti', 'anda', 'tidak', 'menyesal', 'joss']"
semoga tetap abadi,2 tahun lalu,Negatif,api tak kunjung padam,"['semoga', 'tetap', 'abadi']","['semoga', 'tetap', 'abadi']","['semoga', 'tetap', 'abadi']"
penmbayaran sampek kali waktu masuk di awal kemudian parkir dan bayar lagi saat mau ke lokasi mending jadikan di depan,2 tahun lalu,Negatif,api tak kunjung padam,"['penmbayaran', 'sampek', 'kali', 'waktu', 'masuk', 'di', 'awal', 'kemudian', 'parkir', 'dan', 'bayar', 'lagi', 'saat', 'mau', 'ke', 'lokasi', 'mending', 'jadikan', 'di', 'depan']","['penmbayaran', 'sampek', 'kali', 'waktu', 'masuk', 'di', 'awal', 'kemudian', 'parkir', 'dan', 'bayar', 'lagi', 'saat', 'mau', 'ke', 'lokasi', 'lebih baik', 'jadikan', 'di', 'depan']","['penmbayaran', 'sampek', 'kali', 'waktu', 'masuk', 'di', 'awal', 'kemudian', 'parkir', 'dan', 'bayar', 'lagi', 'saat', 'mau', 'ke', 'lokasi', 'lebih baik', 'jadikan', 'di', 'depan']"
seru banget tempatnya,3 tahun lalu,Positif,api tak kunjung padam,"['seru', 'banget', 'tempatnya']","['seru', 'banget', 'tempatnya']","['seru', 'banget', 'tempatnya']"
sangat indah dan menakjubkan subhanallah,setahun lalu,Positif,api tak kunjung padam,"['sangat', 'indah', 'dan', 'menakjubkan', 'subhanallah']","['sangat', 'indah', 'dan', 'menakjubkan', 'subhanallah']","['sangat', 'indah', 'dan', 'menakjubkan', 'subhanallah']"
objek wisata di pamekasan berupa api abadi yang selalu keluar dari dalam tanah,3 tahun lalu,Negatif,api tak kunjung padam,"['objek', 'wisata', 'di', 'pamekasan', 'berupa', 'api', 'abadi', 'yang', 'selalu', 'keluar', 'dari', 'dalam', 'tanah']","['objek', 'wisata', 'di', 'pamekasan', 'berupa', 'api', 'abadi', 'yang', 'selalu', 'keluar', 'dari', 'dalam', 'tanah']","['objek', 'wisata', 'di', 'pamekasan', 'berupa', 'api', 'abadi', 'yang', 'selalu', 'keluar', 'dari', 'dalam', 'tanah']"
lebih ke pasar sih ya bukan tempat wisata tp worth it jga harganya murah murah bikin kantong bolong,2 minggu lalu,Positif,api tak kunjung padam,"['lebih', 'ke', 'pasar', 'sih', 'ya', 'bukan', 'tempat', 'wisata', 'tp', 'worth', 'it', 'jga', 'harganya', 'murah', 'murah', 'bikin', 'kantong', 'bolong']","['lebih', 'ke', 'pasar', 'sih', 'iya', 'bukan', 'tempat', 'wisata', 'tapi', 'worth', 'it', 'juga', 'harganya', 'murah', 'murah', 'bikin', 'kantong', 'bolong']","['lebih', 'ke', 'pasar', 'sih', 'iya', 'bukan', 'tempat', 'wisata', 'tapi', 'worth', 'it', 'juga', 'harganya', 'murah', 'murah', 'bikin', 'kantong', 'bolong']"
asyik banget apinya gak mati jam non stop,2 tahun lalu,Positif,api tak kunjung padam,"['asyik', 'banget', 'apinya', 'gak', 'mati', 'jam', 'non', 'stop']","['asyik', 'banget', 'apinya', 'tidak', 'mati', 'jam', 'non', 'henti']","['asyik', 'banget', 'apinya', 'tidak', 'mati', 'jam', 'non', 'henti']"
bagus alami lebih bagus datangnya malam,setahun lalu,Positif,api tak kunjung padam,"['bagus', 'alami', 'lebih', 'bagus', 'datangnya', 'malam']","['bagus', 'alami', 'lebih', 'bagus', 'datangnya', 'malam']","['bagus', 'alami', 'lebih', 'bagus', 'datangnya', 'malam']"
destinasi wisata yang bisa menjadi pertimbangan jika berkunjung ke pamekasan madura unik ajaib dan merupakan fenomena alam yg patut dijaga kelestariannya,2 tahun lalu,Positif,api tak kunjung padam,"['destinasi', 'wisata', 'yang', 'bisa', 'menjadi', 'pertimbangan', 'jika', 'berkunjung', 'ke', 'pamekasan', 'madura', 'unik', 'ajaib', 'dan', 'merupakan', 'fenomena', 'alam', 'yg', 'patut', 'dijaga', 'kelestariannya']","['destinasi', 'wisata', 'yang', 'bisa', 'menjadi', 'pertimbangan', 'jika', 'berkunjung', 'ke', 'pamekasan', 'madura', 'unik', 'ajaib', 'dan', 'merupakan', 'fenomena', 'alam', 'yang', 'patut', 'dijaga', 'kelestariannya']","['destinasi', 'wisata', 'yang', 'bisa', 'menjadi', 'pertimbangan', 'jika', 'berkunjung', 'ke', 'pamekasan', 'madura', 'unik', 'ajaib', 'dan', 'merupakan', 'fenomena', 'alam', 'yang', 'patut', 'dijaga', 'kelestariannya']"
api tak kunjung padam sekarang sudah lumayan bagus jalannya juga sudah bagus tidak lobang lagi semoga kedepannya makin bagus,4 tahun lalu,Positif,api tak kunjung padam,"['api', 'tak', 'kunjung', 'padam', 'sekarang', 'sudah', 'lumayan', 'bagus', 'jalannya', 'juga', 'sudah', 'bagus', 'tidak', 'lobang', 'lagi', 'semoga', 'kedepannya', 'makin', 'bagus']","['api', 'tidak', 'kunjung', 'padam', 'sekarang', 'sudah', 'lumayan', 'bagus', 'jalannya', 'juga', 'sudah', 'bagus', 'tidak', 'lobang', 'lagi', 'semoga', 'kedepannya', 'makin', 'bagus']","['api', 'tidak', 'kunjung', 'padam', 'sekarang', 'sudah', 'lumayan', 'bagus', 'jalannya', 'juga', 'sudah', 'bagus', 'tidak', 'lobang', 'lagi', 'semoga', 'kedepannya', 'makin', 'bagus']"
seneng banget tapi sayang aku datang ke sana pada waktu siang mungkin lain kali aku dtg pd malam hari,4 tahun lalu,Positif,api tak kunjung padam,"['seneng', 'banget', 'tapi', 'sayang', 'aku', 'datang', 'ke', 'sana', 'pada', 'waktu', 'siang', 'mungkin', 'lain', 'kali', 'aku', 'dtg', 'pd', 'malam', 'hari']","['seneng', 'banget', 'tapi', 'sayang', 'aku', 'datang', 'ke', 'sana', 'pada', 'waktu', 'siang', 'mungkin', 'lain', 'kali', 'aku', 'datang', 'pada', 'malam', 'hari']","['seneng', 'banget', 'tapi', 'sayang', 'aku', 'datang', 'ke', 'sana', 'pada', 'waktu', 'siang', 'mungkin', 'lain', 'kali', 'aku', 'datang', 'pada', 'malam', 'hari']"
lokasi pertama yg kukunjungi setibanya di pamekasan api yang tdk bs padam meski diguyur hujan kita bisa bakar jagung disini,3 tahun lalu,Negatif,api tak kunjung padam,"['lokasi', 'pertama', 'yg', 'kukunjungi', 'setibanya', 'di', 'pamekasan', 'api', 'yang', 'tdk', 'bs', 'padam', 'meski', 'diguyur', 'hujan', 'kita', 'bisa', 'bakar', 'jagung', 'disini']","['lokasi', 'pertama', 'yang', 'kukunjungi', 'setibanya', 'di', 'pamekasan', 'api', 'yang', 'tidak', 'bisa', 'padam', 'meski', 'diguyur', 'hujan', 'kita', 'bisa', 'bakar', 'jagung', 'disini']","['lokasi', 'pertama', 'yang', 'kukunjungi', 'setibanya', 'di', 'pamekasan', 'api', 'yang', 'tidak', 'bisa', 'padam', 'meski', 'diguyur', 'hujan', 'kita', 'bisa', 'bakar', 'jagung', 'disini']"
sangat bagus sekali,3 tahun lalu,Positif,api tak kunjung padam,"['sangat', 'bagus', 'sekali']","['sangat', 'bagus', 'sekali']","['sangat', 'bagus', 'sekali']"
tempatnya nyaman banget orangnya pada ramah semua,4 tahun lalu,Positif,api tak kunjung padam,"['tempatnya', 'nyaman', 'banget', 'orangnya', 'pada', 'ramah', 'semua']","['tempatnya', 'nyaman', 'banget', 'orangnya', 'pada', 'ramah', 'semua']","['tempatnya', 'nyaman', 'banget', 'orangnya', 'pada', 'ramah', 'semua']"
penasaran tapi tempatnya kurang terawat,2 bulan lalu,Negatif,api tak kunjung padam,"['penasaran', 'tapi', 'tempatnya', 'kurang', 'terawat']","['penasaran', 'tapi', 'tempatnya', 'kurang', 'terawat']","['penasaran', 'tapi', 'tempatnya', 'kurang', 'terawat']"
tempat yg sanagat bagus,setahun lalu,Negatif,api tak kunjung padam,"['tempat', 'yg', 'sanagat', 'bagus']","['tempat', 'yang', 'sanagat', 'bagus']","['tempat', 'yang', 'sanagat', 'bagus']"
tempat patut di lestarikan perlunya pengawasan pihak berwajib dalam pengelolaan wisata tersebut,setahun lalu,Positif,api tak kunjung padam,"['tempat', 'patut', 'di', 'lestarikan', 'perlunya', 'pengawasan', 'pihak', 'berwajib', 'dalam', 'pengelolaan', 'wisata', 'tersebut']","['tempat', 'patut', 'di', 'lestarikan', 'perlunya', 'pengawasan', 'pihak', 'berwajib', 'dalam', 'pengelolaan', 'wisata', 'tersebut']","['tempat', 'patut', 'di', 'lestarikan', 'perlunya', 'pengawasan', 'pihak', 'berwajib', 'dalam', 'pengelolaan', 'wisata', 'tersebut']"
alun alun pasuruan kota sebelah makam mbah hamid banyak sekali orang orang ziaroh ke makam mbh hamid,setahun lalu,Negatif,api tak kunjung padam,"['alun', 'alun', 'pasuruan', 'kota', 'sebelah', 'makam', 'mbah', 'hamid', 'banyak', 'sekali', 'orang', 'orang', 'ziaroh', 'ke', 'makam', 'mbh', 'hamid']","['alun', 'alun', 'pasuruan', 'kota', 'sebelah', 'makam', 'mbah', 'hamid', 'banyak', 'sekali', 'orang', 'orang', 'ziaroh', 'ke', 'makam', 'mbh', 'hamid']","['alun', 'alun', 'pasuruan', 'kota', 'sebelah', 'makam', 'mbah', 'hamid', 'banyak', 'sekali', 'orang', 'orang', 'ziaroh', 'ke', 'makam', 'mbh', 'hamid']"
tempat yg unik tp kurang terawat,4 tahun lalu,Negatif,api tak kunjung padam,"['tempat', 'yg', 'unik', 'tp', 'kurang', 'terawat']","['tempat', 'yang', 'unik', 'tapi', 'kurang', 'terawat']","['tempat', 'yang', 'unik', 'tapi', 'kurang', 'terawat']"
lokasi di kota pamekasan maduratempatnya rekreasi yg sangat mengecewakan buat saya,2 tahun lalu,Negatif,api tak kunjung padam,"['lokasi', 'di', 'kota', 'pamekasan', 'maduratempatnya', 'rekreasi', 'yg', 'sangat', 'mengecewakan', 'buat', 'saya']","['lokasi', 'di', 'kota', 'pamekasan', 'maduratempatnya', 'rekreasi', 'yang', 'sangat', 'mengecewakan', 'buat', 'saya']","['lokasi', 'di', 'kota', 'pamekasan', 'maduratempatnya', 'rekreasi', 'yang', 'sangat', 'mengecewakan', 'buat', 'saya']"
jalan menuju lokasi api tak kunjung padam rusak dan area api kurang terawat,3 tahun lalu,Negatif,api tak kunjung padam,"['jalan', 'menuju', 'lokasi', 'api', 'tak', 'kunjung', 'padam', 'rusak', 'dan', 'area', 'api', 'kurang', 'terawat']","['jalan', 'menuju', 'lokasi', 'api', 'tidak', 'kunjung', 'padam', 'rusak', 'dan', 'area', 'api', 'kurang', 'terawat']","['jalan', 'menuju', 'lokasi', 'api', 'tidak', 'kunjung', 'padam', 'rusak', 'dan', 'area', 'api', 'kurang', 'terawat']"
terlalu banyak loket,4 tahun lalu,Negatif,api tak kunjung padam,"['terlalu', 'banyak', 'loket']","['terlalu', 'banyak', 'loket']","['terlalu', 'banyak', 'loket']"
apinya gk pernah padam,4 tahun lalu,Negatif,api tak kunjung padam,"['apinya', 'gk', 'pernah', 'padam']","['apinya', 'tidak', 'pernah', 'padam']","['apinya', 'tidak', 'pernah', 'padam']"
tempatnya kurang di kelola dg baik pas masuk kawasan wisata dimintain karcis bisa mpe lebih dr dg org yg berbeda,4 tahun lalu,Negatif,api tak kunjung padam,"['tempatnya', 'kurang', 'di', 'kelola', 'dg', 'baik', 'pas', 'masuk', 'kawasan', 'wisata', 'dimintain', 'karcis', 'bisa', 'mpe', 'lebih', 'dr', 'dg', 'org', 'yg', 'berbeda']","['tempatnya', 'kurang', 'di', 'kelola', 'dengan', 'baik', 'pas', 'masuk', 'kawasan', 'wisata', 'dimintain', 'karcis', 'bisa', 'sampai', 'lebih', 'dari', 'dengan', 'orang', 'yang', 'berbeda']","['tempatnya', 'kurang', 'di', 'kelola', 'dengan', 'baik', 'pas', 'masuk', 'kawasan', 'wisata', 'dimintain', 'karcis', 'bisa', 'sampai', 'lebih', 'dari', 'dengan', 'orang', 'yang', 'berbeda']"
bagus menyenangkan dan banyak pengunjung nya,3 tahun lalu,Negatif,api tak kunjung padam,"['bagus', 'menyenangkan', 'dan', 'banyak', 'pengunjung', 'nya']","['bagus', 'menyenangkan', 'dan', 'banyak', 'pengunjung', 'nya']","['bagus', 'menyenangkan', 'dan', 'banyak', 'pengunjung', 'nya']"
karna ramai di kunjungi dengan apinya yg tidak padam bisa bakar jagung dan lain nya,4 tahun lalu,Negatif,api tak kunjung padam,"['karna', 'ramai', 'di', 'kunjungi', 'dengan', 'apinya', 'yg', 'tidak', 'padam', 'bisa', 'bakar', 'jagung', 'dan', 'lain', 'nya']","['karena', 'ramai', 'di', 'kunjungi', 'dengan', 'apinya', 'yang', 'tidak', 'padam', 'bisa', 'bakar', 'jagung', 'dan', 'lain', 'nya']","['karena', 'ramai', 'di', 'kunjungi', 'dengan', 'apinya', 'yang', 'tidak', 'padam', 'bisa', 'bakar', 'jagung', 'dan', 'lain', 'nya']"
tempanya myaman untuk blanja harga murah dari pd pasar tradisional,setahun lalu,Positif,api tak kunjung padam,"['tempanya', 'myaman', 'untuk', 'blanja', 'harga', 'murah', 'dari', 'pd', 'pasar', 'tradisional']","['tempanya', 'myaman', 'untuk', 'blanja', 'harga', 'murah', 'dari', 'pada', 'pasar', 'tradisional']","['tempanya', 'myaman', 'untuk', 'blanja', 'harga', 'murah', 'dari', 'pada', 'pasar', 'tradisional']"
sangat mengesankan karya tuhan,setahun lalu,Positif,api tak kunjung padam,"['sangat', 'mengesankan', 'karya', 'tuhan']","['sangat', 'mengesankan', 'karya', 'tuhan']","['sangat', 'mengesankan', 'karya', 'tuhan']"
ke situ hanya untuk beli pisau clurit madura parang dll krn bahannya yg bagus,3 tahun lalu,Positif,api tak kunjung padam,"['ke', 'situ', 'hanya', 'untuk', 'beli', 'pisau', 'clurit', 'madura', 'parang', 'dll', 'krn', 'bahannya', 'yg', 'bagus']","['ke', 'situ', 'hanya', 'untuk', 'beli', 'pisau', 'clurit', 'madura', 'parang', 'dan lain-lain', 'karena', 'bahannya', 'yang', 'bagus']","['ke', 'situ', 'hanya', 'untuk', 'beli', 'pisau', 'clurit', 'madura', 'parang', 'dan lain-lain', 'karena', 'bahannya', 'yang', 'bagus']"
keunikan dunia yg ada pamekasan lengkapi dg aneka pedagang souvenir dan makanan khas madura,2 tahun lalu,Positif,api tak kunjung padam,"['keunikan', 'dunia', 'yg', 'ada', 'pamekasan', 'lengkapi', 'dg', 'aneka', 'pedagang', 'souvenir', 'dan', 'makanan', 'khas', 'madura']","['keunikan', 'dunia', 'yang', 'ada', 'pamekasan', 'lengkapi', 'dengan', 'aneka', 'pedagang', 'souvenir', 'dan', 'makanan', 'khas', 'madura']","['keunikan', 'dunia', 'yang', 'ada', 'pamekasan', 'lengkapi', 'dengan', 'aneka', 'pedagang', 'souvenir', 'dan', 'makanan', 'khas', 'madura']"
tempat wisata di pamekasan dari namanya api tak kunjung padam apinya gak padam nyala terus,2 tahun lalu,Negatif,api tak kunjung padam,"['tempat', 'wisata', 'di', 'pamekasan', 'dari', 'namanya', 'api', 'tak', 'kunjung', 'padam', 'apinya', 'gak', 'padam', 'nyala', 'terus']","['tempat', 'wisata', 'di', 'pamekasan', 'dari', 'namanya', 'api', 'tidak', 'kunjung', 'padam', 'apinya', 'tidak', 'padam', 'nyala', 'terus']","['tempat', 'wisata', 'di', 'pamekasan', 'dari', 'namanya', 'api', 'tidak', 'kunjung', 'padam', 'apinya', 'tidak', 'padam', 'nyala', 'terus']"
piknik asik di sini luar biasa,2 tahun lalu,Positif,api tak kunjung padam,"['piknik', 'asik', 'di', 'sini', 'luar', 'biasa']","['piknik', 'asik', 'di', 'sini', 'luar', 'biasa']","['piknik', 'asik', 'di', 'sini', 'luar', 'biasa']"
senang bisa mengetahui bahwa ada api yg tak pernah padam,2 tahun lalu,Positif,api tak kunjung padam,"['senang', 'bisa', 'mengetahui', 'bahwa', 'ada', 'api', 'yg', 'tak', 'pernah', 'padam']","['senang', 'bisa', 'mengetahui', 'bahwa', 'ada', 'api', 'yang', 'tidak', 'pernah', 'padam']","['senang', 'bisa', 'mengetahui', 'bahwa', 'ada', 'api', 'yang', 'tidak', 'pernah', 'padam']"
lokasi panas klo siang sptnya lbh asik dikunjungi malam hari,4 tahun lalu,Positif,api tak kunjung padam,"['lokasi', 'panas', 'klo', 'siang', 'sptnya', 'lbh', 'asik', 'dikunjungi', 'malam', 'hari']","['lokasi', 'panas', 'kalau', 'siang', 'sptnya', 'lbh', 'asik', 'dikunjungi', 'malam', 'hari']","['lokasi', 'panas', 'kalau', 'siang', 'sptnya', 'lbh', 'asik', 'dikunjungi', 'malam', 'hari']"
tempat parkir nya luas warna api nya bagus klw malam hari,10 bulan lalu,Negatif,api tak kunjung padam,"['tempat', 'parkir', 'nya', 'luas', 'warna', 'api', 'nya', 'bagus', 'klw', 'malam', 'hari']","['tempat', 'parkir', 'nya', 'luas', 'warna', 'api', 'nya', 'bagus', 'kalau', 'malam', 'hari']","['tempat', 'parkir', 'nya', 'luas', 'warna', 'api', 'nya', 'bagus', 'kalau', 'malam', 'hari']"
tempatnya kurang penataan ruang nya,3 tahun lalu,Negatif,api tak kunjung padam,"['tempatnya', 'kurang', 'penataan', 'ruang', 'nya']","['tempatnya', 'kurang', 'penataan', 'ruang', 'nya']","['tempatnya', 'kurang', 'penataan', 'ruang', 'nya']"
tolong ditertibkan orang yang mintaterkesan terlalu memaksa mulai dari anak kecil sampai orang dewasa,4 tahun lalu,Negatif,api tak kunjung padam,"['tolong', 'ditertibkan', 'orang', 'yang', 'mintaterkesan', 'terlalu', 'memaksa', 'mulai', 'dari', 'anak', 'kecil', 'sampai', 'orang', 'dewasa']","['tolong', 'ditertibkan', 'orang', 'yang', 'mintaterkesan', 'terlalu', 'memaksa', 'mulai', 'dari', 'anak', 'kecil', 'sampai', 'orang', 'dewasa']","['tolong', 'ditertibkan', 'orang', 'yang', 'mintaterkesan', 'terlalu', 'memaksa', 'mulai', 'dari', 'anak', 'kecil', 'sampai', 'orang', 'dewasa']"
wisata api tak kunjung padam yang berada di desa larangan tokol kecamatan tlanakan kabupaten pamekasan madura,4 tahun lalu,Positif,api tak kunjung padam,"['wisata', 'api', 'tak', 'kunjung', 'padam', 'yang', 'berada', 'di', 'desa', 'larangan', 'tokol', 'kecamatan', 'tlanakan', 'kabupaten', 'pamekasan', 'madura']","['wisata', 'api', 'tidak', 'kunjung', 'padam', 'yang', 'berada', 'di', 'desa', 'larangan', 'tokol', 'kecamatan', 'tlanakan', 'kabupaten', 'pamekasan', 'madura']","['wisata', 'api', 'tidak', 'kunjung', 'padam', 'yang', 'berada', 'di', 'desa', 'larangan', 'tokol', 'kecamatan', 'tlanakan', 'kabupaten', 'pamekasan', 'madura']"
sangat bagustapi harus di baguskan kembali tempatnyasupaya nyaman,4 tahun lalu,Negatif,api tak kunjung padam,"['sangat', 'bagustapi', 'harus', 'di', 'baguskan', 'kembali', 'tempatnyasupaya', 'nyaman']","['sangat', 'bagustapi', 'harus', 'di', 'baguskan', 'kembali', 'tempatnyasupaya', 'nyaman']","['sangat', 'bagustapi', 'harus', 'di', 'baguskan', 'kembali', 'tempatnyasupaya', 'nyaman']"
wisata alam tak pernah padam bagus buat dikunjungi banyak souvernir khas madura,3 tahun lalu,Negatif,api tak kunjung padam,"['wisata', 'alam', 'tak', 'pernah', 'padam', 'bagus', 'buat', 'dikunjungi', 'banyak', 'souvernir', 'khas', 'madura']","['wisata', 'alam', 'tidak', 'pernah', 'padam', 'bagus', 'buat', 'dikunjungi', 'banyak', 'souvernir', 'khas', 'madura']","['wisata', 'alam', 'tidak', 'pernah', 'padam', 'bagus', 'buat', 'dikunjungi', 'banyak', 'souvernir', 'khas', 'madura']"
tempatnya bersih lokasi parkir luas belanja souvenir murah murah,3 tahun lalu,Positif,api tak kunjung padam,"['tempatnya', 'bersih', 'lokasi', 'parkir', 'luas', 'belanja', 'souvenir', 'murah', 'murah']","['tempatnya', 'bersih', 'lokasi', 'parkir', 'luas', 'belanja', 'souvenir', 'murah', 'murah']","['tempatnya', 'bersih', 'lokasi', 'parkir', 'luas', 'belanja', 'souvenir', 'murah', 'murah']"
kuasa allah dengan menunjukkan api yang tak kunjung padam belanjanya murah di sana saya suka,2 tahun lalu,Positif,api tak kunjung padam,"['kuasa', 'allah', 'dengan', 'menunjukkan', 'api', 'yang', 'tak', 'kunjung', 'padam', 'belanjanya', 'murah', 'di', 'sana', 'saya', 'suka']","['kuasa', 'allah', 'dengan', 'menunjukkan', 'api', 'yang', 'tidak', 'kunjung', 'padam', 'belanjanya', 'murah', 'di', 'sana', 'saya', 'suka']","['kuasa', 'allah', 'dengan', 'menunjukkan', 'api', 'yang', 'tidak', 'kunjung', 'padam', 'belanjanya', 'murah', 'di', 'sana', 'saya', 'suka']"
tempat ini bagus untuk wisata apalagi kalau malam ramai sekali,2 tahun lalu,Positif,api tak kunjung padam,"['tempat', 'ini', 'bagus', 'untuk', 'wisata', 'apalagi', 'kalau', 'malam', 'ramai', 'sekali']","['tempat', 'ini', 'bagus', 'untuk', 'wisata', 'apalagi', 'kalau', 'malam', 'ramai', 'sekali']","['tempat', 'ini', 'bagus', 'untuk', 'wisata', 'apalagi', 'kalau', 'malam', 'ramai', 'sekali']"
siap melayani order berbagai macam roti untuk hajatan dll,2 tahun lalu,Positif,api tak kunjung padam,"['siap', 'melayani', 'order', 'berbagai', 'macam', 'roti', 'untuk', 'hajatan', 'dll']","['siap', 'melayani', 'order', 'berbagai', 'macam', 'roti', 'untuk', 'hajatan', 'dan lain-lain']","['siap', 'melayani', 'order', 'berbagai', 'macam', 'roti', 'untuk', 'hajatan', 'dan lain-lain']"
hati yg plat luar madura banyak pungli kalo gak tau arah,2 tahun lalu,Negatif,api tak kunjung padam,"['hati', 'yg', 'plat', 'luar', 'madura', 'banyak', 'pungli', 'kalo', 'gak', 'tau', 'arah']","['hati', 'yang', 'plat', 'luar', 'madura', 'banyak', 'pungli', 'kalau', 'tidak', 'tahu', 'arah']","['hati', 'yang', 'plat', 'luar', 'madura', 'banyak', 'pungli', 'kalau', 'tidak', 'tahu', 'arah']"
karena sunggu luar biasa ciptaan allah tanah bisa keluar api,4 tahun lalu,Positif,api tak kunjung padam,"['karena', 'sunggu', 'luar', 'biasa', 'ciptaan', 'allah', 'tanah', 'bisa', 'keluar', 'api']","['karena', 'sunggu', 'luar', 'biasa', 'ciptaan', 'allah', 'tanah', 'bisa', 'keluar', 'api']","['karena', 'sunggu', 'luar', 'biasa', 'ciptaan', 'allah', 'tanah', 'bisa', 'keluar', 'api']"
sya belum ke sini tp tdk di promosi dn penasaran,3 tahun lalu,Positif,api tak kunjung padam,"['sya', 'belum', 'ke', 'sini', 'tp', 'tdk', 'di', 'promosi', 'dn', 'penasaran']","['sya', 'belum', 'ke', 'sini', 'tapi', 'tidak', 'di', 'promosi', 'dn', 'penasaran']","['sya', 'belum', 'ke', 'sini', 'tapi', 'tidak', 'di', 'promosi', 'dn', 'penasaran']"
bisa jadi salah satu pilihan buat liburan nataru,4 tahun lalu,Negatif,api tak kunjung padam,"['bisa', 'jadi', 'salah', 'satu', 'pilihan', 'buat', 'liburan', 'nataru']","['bisa', 'jadi', 'salah', 'satu', 'pilihan', 'buat', 'liburan', 'nataru']","['bisa', 'jadi', 'salah', 'satu', 'pilihan', 'buat', 'liburan', 'nataru']"
