Judul,Isi,Kategori
Cak Imin Yakin Golkar Tak Bakal Gabung PDIP Dukung Ganjar Pranowo,"SERANG– Ketua Umum Partai Kebangkitan Bangsa (PKB), Muhaimin Iskandar atau akrab disapa Cak Imin yakin kalau Partai Golkar tidak akan berkoalisi dengan PDI Perjuangan untuk mendukung Ganjar Pranowo sebagai calon presiden di Pilpres 2024.“Saya yakin Golkar tidak akan mendukung PDIP. Saya yakin,” kata Cak Imin seusai bertemu Boediono di Jakarta, Rabu (17/5/2023).Namun Cak Imin tak menjelaskan dasar atas keyakinan tidak bergabungnya dua partai tersebut.“Ya keyakinan lah ya, namanya juga yakin,” jawab Cak Imin melansir suara.com (jaringan BantenNews.co.id).Sebelumnya, Ketua DPP PDIP P Puan Maharani memberikan sinyal bahwa partai berwarna kuning akan bergabung dengan koalisi bakal calon presiden (capres) Ganjar Pranowo dalam Pemilu 2024.Hal ini disampaikan Puan usai Rapat Paripurna DPR RI Pembukaan Masa Persidangan V Tahun Sidang 2022-2023, Selasa (16/5/2023). Adapun sinyal terkait partai kuning akan bergabung diketahui melalui blus kuning yang dipakai Puan dengan balutan blazer hitam.“Pakai baju kuning,” celetuk Ketua Harian Gerindra Sufmi Dasco yang berdiri di samping Puan saat disinggung awak media terkait adakah partai lain yang ingin dipikat.Hal ini langsung menuai gelak tawa dari Puan, Dasco, Sekretaris Jenderal (Sekjen) Golkar Lodewijk F Paulus dan awak media di Gedung Nusantara II, Kompleks Parlemen Senayan, Jakarta, Selasa.“Ini tanda-tanda,” kata Puan sembari tertawa.Di sisi lain, Partai Golkar sebelumnya telah membangun Koalisi Indonesia Bersatu (KIB) bersama Partai Amanat Nasional (PAN) dan Partai Persatuan Pembangunan (PPP).(Red)",Politik
Honor PPK hingga KPPS untuk Pemilu 2024 Bakal Naik,"JAKARTA– Komisi Pemilihan Umum (KPU) telah menetapkan besaran honor untuk petugas Panitia Pemilihan Kecamatan (PPK) hingga Kelompok Penyelenggara Pemungutan Suara (KPPS) untuk Pemilu 2024 mendatang.Komisioner KPU, Yulianto Sudrajat mengatakan pemerintah telah menyetujui kenaikan honor bagi badan ad hoc untuk pemilu dan pemilihan tahun 2024.Keputusan penetapan besaran honor tersebut tertuang dalam SK Menteri Keuangan Nomor F647/MK.02/MK/2022 tanggal 5 Agustus 2022.Dalam SK Menteri Keuangan tersebut secara rinci disebutkan honor untuk PPK, PPS, KPPS, pantarlih, kemudian PPLN dan KPPSLN, dan kemudian pantarlih LN.Untuk pemilu 2024, kata Yulianto, honor untuk PPK hingga KPPS mengalami kenaikan dibanding Pemilu 2019.“Perihal satuan biaya masukan untuk tahapan pemilihan umum pemerintah telah menyetujui kenaikan honor bagi badan ad hoc untuk pemilu dan pemilihan tahun 2024,” ujar Yulianto di Kantor KPU Pusat, Jakarta, Senin (8/8/2022).Berikut rincian besaran honor PPK hingga KPPS berdasarkan SK Menteri Keuangan Nomor F647/MK.02/MK/2022:– Ketua PPK: tahun Pemilu 2019 Rp1.850.000 kemudian untuk tahun Pemilu tahun 2024 naik menjadi Rp2.500.000– Anggota PPK: tahun Pemilu 2019 itu anggota itu Rp1.600.000 kemudian di Pemilu 2024 naik Rp2.200.000– Ketua PPS: tahun Pemilu 2019 Rp900.000 kemudian untuk Pemilu tahun 2024 naik menjadi Rp1.500.000– Anggota PPS: tahun Pemilu 2019 Rp850.000 untuk Pemilu 2024 naik menjadi Rp1.300.000– Petugas Pemutakhiran Daftar Pemilu: tahun Pemilu 2019 Rp800.000 kemudian untuk Pemilu 2024 naik menjadi Rp1.000.000– Ketua KPPS: tahun Pemilu 2019 Rp550.000 untuk Pemilu 2024 naik jadi Rp1.200.000– Anggota KPPS: tahun Pemilu 2019 itu honornya Rp500.000 di Pemilu 2024 naik menjadi Rp1.100.000– Linmas petugas ketertiban di PPS: tahun Pemilu 2019 Rp500.000 kemudian besok di pemilu 2024 Rp700.000.(Red)",Politik
Sukanta Didorong Maju Jadi Wakil Bupati Lebak di Pemilu 2024,"LEBAK– Kepala Dinas Kesatuan Bangsa dan Politik (Kesbangpol) Lebak, Sukanta didukung berbagai elemen masyarakat untuk menjadi bakal calon Wakil Bupati (Wabup) Lebak di tahun 2024 nanti. Dukungan tersebut muncul dari berbagai elemen yaitu, kasepuhan adat, tokoh agama, dan warga Kabupaten Lebak.Jamil Muhamad Yunus, tokoh agama di Kampung Sukajadi, Desa Rahong, Kecamatan Malingping, Kabupaten Lebak mengatakan, berdasarkan dari musyawarah tetua desa dan sebagian masyarakat di wilayahnya menginginkan agar Kepala Kesbangpol Kabupaten Lebak tersebut menjadi Wabup Lebak di tahun 2024 nanti.“Kalau untuk Calon Bupati Lebak sih kayanya sudah ada nama yang muncul, makannya kami bermusyawarah dan menghasilkan kesepakatan bahwa pak Sukanta harus menjadi Wabup Lebak, siapapun Calon Bupatinya,” kata Jamil saat dihubungi, Minggu (15/10/2023).Ia mengungkapkan, keputusan tersebut tidak semata-mata diputuskan begitu saja. Namun, nama Sukanta didorong menjadi Wabup berdasarkan penilaian dari berbagai macam aspek seperti, memiliki kinerja yang baik, dapat berbaur dengan masyarakat, dapat mengayomi kasepuhan di Lebak, dan memiliki pengalaman yang cukup dalam birokrasi.“Kami sangat memerlukan pemimpin seperti pak Sukanta, kebetulan sekarang juga pak Sukanta menjabat sebagai Ketua Kasepuhan Lembaga Kesatuan Adat Kasepuhan Banten Kidul ( SABAKI) dan Kepala Kesbangpol Lebak,” terangnya.Ia menjelaskan, Sukanta juga memiliki rekam jejak yang baik ketika menjabat sebagai camat di tiga Kecamatan antara lain, Kecamatan Malingping, Kecamatan Wanasalam, dan Kecamatan Banjarsari.“Beliau terkenal sangat dekat dengan pondok pesantren, komunitas, dan berbagai macam kalangan, bahkan ketika kami meminta bantuan tidak pernah mempersulit,” ucap Jamil.Jamil menambahkan, berdasarkan pandangan pihaknya Sukanta juga memiliki intregritas, populeritas dan elektabilitas yang cukup sebagai bagian dari modal untuk menjadi Wabup Lebak.“Secara popularitas beliau sangat memenuhi untuk menjadi Wabup, kami berharap kalau memang Bupati-nya dari Selatan, Wabup-nya harus dari Selatan,” sambungnya.Sementara itu, Tokoh Kasepuhan Kampung Cipinang, Desa Girimukti, Kecamatan Cilograng, Juanda menyatakan sikap yang sama yakni menginginkan agar Sukanta menjadi Wakil Bupati Lebak di tahun 2024 nanti.“Tentunya pak Sukanta sangat bagus dalam bekerja, dan bermasyarakat, yang paling penting menentukan Wabup itu harus putra daerah, dan kebetulan pak Sukanta asli Lebak,” ucapnya. (San/Red)",Politik
Ini Alasan PN Pandeglang Beri Pidana Tambahan ke Penyebar Video Porno,"PANDEGLANG– Juru Bicara Pengadilan Negeri (PN) Pandeglang, Panji Answinartha angkat bicara terkait keputusan majelis hakim yang memberikan pidana tambahan kepada terdakwa kasus penyebaran video porno Alwi Husen Maulana berupa perampasan hak menggunakan perangkat berbasis internet.Menurutnya, majelis hak tidak serta-merta memberikan pidana tambahan itu melainkan sudah melalui berbagai pertimbangan yang dilakukan agar sesuai dengan asas keadilan.“Hakim menjatuhkan pidana tambahan berupa perampasan hak tertentu yaitu larangan menggunakan perangkat komunikasi berbasis internet selama 8 tahun. Hal ini tidak diminta oleh penuntut umum bahkan ini merupakan terobosan hukum karena di dalam undang-undang ITE tidak diatur secara khusus terkait pidana tambahan ini,” kata Panji, Kamis (13/7/2023).Panji juga mengungkapkan bahwa pidana tambahan ini merupakan hal yang baru dan mungkin bisa menjadi terobosan lantaran sebelumnya tidak ada. Kata dia, dalam sidang putusan, majelis hakim juga memerintahkan agar semua data atau bukti elektronik perkara dimusnahkan.“Jadi tidak hanya fisik sepertiflashdiskatauprint outnamun termasukfileelektronik yang mana hal ini tidak ada di dalam tuntutan penuntut umum. Perampasan hak tertentu yang dijatuhi hakim ini di luar dari jenis-jenis perampasan hak tertentu yang diatur di dalam KUHP, jadi ini beberapa poin baru yang dikemukakan majelis hakim menjadi terobosan hukum,” terangnya.Panji beralasan, pidana tambahan berupa perampasan hak menggunakan perangkat berbasis internet juga sebagai edukasi kepada masyarakat agar lebih bijak lagi menggunakan internet. Hal itu bertujuan agar masyarakat tidak bernasib sama dengan terdakwa.“Pertimbangannya, salah satunya menjaga atau melakukan edukasi terhadap masyarakat apabila melakukan tindakan serupa seperti Alwi akibat hukumnya seperti Alwi tersebut. Untuk pengawas putusan hakim tentunya akan dieksekusi langsung oleh kejaksaan, tentunya kejaksaan yang akan mengeksekusi putusan tersebut,” tutupnya.(Med/Red)",hukum
Jelang Musim Hujan Kelompok Tani Berharap Punya Pengering Padi,"PANDEGLANG– Sejumlah Kelompok Tani (Poktan) di Desa Parumasan, Kecamatan Cipeucang, Kabupaten Pandeglang berharap bisa memiliki pengering padi menjelang musim hujan tiba. Pasalnya, saat musim hujan datang para petani kesulitan menjemur padi mereka.Hal itu disampaikan para Gapoktan saat mengikuti reses anggota Komisi II dari Fraksi PPP DPRD Provinsi Banten, Ida Hamidah masa persidangan ke III tahun sidang 2021-2022 di Desa Parumasan, Kecamatan Cipeucang, Kabupaten Pandeglang.Ketua Kelompok Tani Harapan Jaya 2 Desa Parumasan, Aang Koharudin mengatakan, menjelang datangnya musim hujan biasanya para petani mengeluhkan aktivitas menjemur padi mereka. Sebab, selama ini jika musim hujan tiba masyarakat tidak bisa menjemur gabah mereka dan hanya bisa menjualnya dengan harga murah ke tengkulak.“Dkarenakan mengahadapi musim hujan kami membutuhkan pengeringan padi, kalau musim hujan para petani sangat tersiksa sebab daripada mubajir karena tidak bisa dikeringkan terus padinya jadi hitam makanya murah juga dijual,” kata Aang usai kegiatan reses, Selasa (2/8/2022).Menurut Aang, karena para petani maupun Gapoktan tidak memiliki mesin untuk mengeringkan gabah maka langkah yang bisa mereka ambil hanya menjual gabah dengan harga murah. Sebab, jika gabah tersebut disimpan dan tidak dijemur maka kualitasnya akan rusak parah.“Untuk mensiasati musim hujan itu jalan satu-satunya hanya dijual murah, jadi oleh tengkulak juga seolah-olah dibodohi lah para petani. Daripada gabah itu engga laku atupun jadi hitam akhirnya dijual dengan murah. Mudah-mudahan pengajuan saya ini cepat terealisasi maupun di ACC oleh pemerintah setempat,” harapnya.Di tempat yang sama, Ida Hamidah menyampaikan bahwa bantuan yang baru bisa ia upayakan hanya bantuan traktor untuk para Gapoktan. Namun dirinya berjanji akan berusaha semaksimal mungkin untuk mewujudkan keinginan para petani.Ia mengaku langkah yang akan diambil untuk mewujudkan keinginan para petani ialah dengan melakukan koordinasi dengan Dinas Pertanian Provinsi Banten terkait dengan aspirasi yang ia serap selama melakukan reses di Desa Parumasan, Kecamatan Cipeucang, Kabupaten Pandeglang.Saya sebagai komisi II bidang pertanian akan mengupayakan untuk membantu masyarakat karena di Parumasan ini mayoritas petani. Nanti akan saya lakukan koordinasi dengan Kepala Dinas Pertanian Provinsi Banten apakah itu bisa memberikan bantuan ke Desa Parumasan, insya Allah diupayakan apakah itu dianggaran perubahan atau anggaran murni tahun 2023,” tambahnya.(Med/Red)",Politik
Atlet Layar Berpeluang Tambah Medali untuk Banten di PON XX Papua,"PAPUA– Menjelang PON XX Papua berakhir dalam waktu beberapa hari ini, Kontingen Banten berpeluang untuk menambah pundi medali dari cabang layar. Dua atlet layar putri Banten yakni Kirana Wardojo yang turun di kelas laser radial putri dan Ratiah di kelas RSX saat ini masih berlomba dan sementara bersaing dengan atlet provinsi lainnya.Ketua Pengprov Porlasi Banten, Asep Yusuf Syarir mengatakan saat ini memasuki hari ketiga, dua atlet Banten masih bersaing di papan atas klasemen. Dari hasil pengamatan atlet Banten saling mengungguli untuk meraih poin.“Kami terus memantau perlombaan. Kedua atlet kami saling kejar dengan atlet DKI Jakarta, Jawa Barat, Kalimantan Timur dan Kepulauan Riau,” jelasnya.Untuk Rara, sapaan Kirana Wardojo, saat ini memimpin di posisi pertama. Dari 4 race yang dilalui Rara, 3 kali tampil sebagai juara pertama dan sekali juara kedua.“Insya Allah kalau Rara mampu memimpin 3 race hari ini di urutan pertama, potensi medali emas terbuka lebar. Karena secara postur Rara akan sulit dikalahkan di tengah angin dan ombak seperti kemarin,” ulas Asep.Sedangkan Ratiah, ungkap Asep punya kans juga mendulang medali emas seperti PON XIX di nomor RS One. Ratiah tinggal memantapkan semangatnya untuk bisa mengalahkan dua kali juara PON nomor RSX sebelumnya.“Karena secara postur Ratiah sama dengan pesaingnya. Tinggal bagaimana di laut Ratiah mengatasi lawannya ini,” ujar Asep.Namun peluang masih tetbuka mengingat saat ini penghitungan nilai masih berlangsung hingga 12 seri lomba.“Masih ada seri tersisa dan kami terus berjuang untuk berada di posisi teratas agar bisa meraih tambahan medali dari layar. Sejauh ini kami telah meraih 2 emas dan 1 perunggu. Mohon doanya agar bisa menambah emas lagi,” tutupnya.(Red/PON)",Sport
"Klaim Ada Bukti, Jubir AMIN Anggap Jokowi jadi Sutradara di Balik...","SERANG– Juru Bicara Tim Nasional Anies-Muhaimin atau Timnas AMIN, Andi Sinulingga, mengatakan drama yang terjadi di Pilpres 2024 datang dari Presiden Joko Widodo (Jokowi).Menurutnya, presiden sebagai orang yang paling berkuasa jusru yang berpotensi menjadi sutrada di balik drama yang ada.“Drama dari banyak politik di seluruh negara itu ya presiden. Kenapa presiden? Karena dia itu orang yang paling berkuasa, yang paling berkuasa lah yang layak yang memungkinkan menjadi sutradara. Nggak mungkin orang yang powerless,” kata Andi di kantor Populi Center, Jakarta Selatan, Kamis (9/11/2023).Pernyataan Andi sekaligus menanggapi pernyataan Presiden Jokowi yang menilai saat ini terlalu banyak drama hingga adu perasaan, bukan gagasan.Berdasaekan penilaian itu, Ia mengatakan presiden merupakan pihak yang paling layak untuk menjadi sutradara.“Dan itu terbukti kan banyak buktinya itu bisa dipertanggungjawabkan secara ilmiah ini, ini bahwa Jokowi itu adalah aktor sekaligus sutradara,” kata Andi melansir suara.com (jaringan BantenNews.co.id).Andi menyinggung rekam jejak Jokowi yang dinilai kadang mempermasalhakan suatu hal. Selain itu perkataan dan tindakan Jokowi acapkali dianggap bertolak belakang.“Pak Jokowi sendiri yang orkestrasi, Pak Jokowi sendiri yang mempermasalahkan. Jadi Pak Jokowi itu sudah terlalu sering, bilang tidak akan impor, impor, macam-macam yang dikatakan dilakukan sebaliknya,” ujar Andi.“Rekam jejak Pak Jokowi banyak sekali itu yang menimbulkan orang nggak percaya lagi. Dan bukti ketidakpercayaan itu adalah aktivis-aktivis PDIP sendiri, dari rumahnya sendiri dan itu disampaikan oleh tokoh tokoh PDIP,” kata Andi.Jokowi Bicara DramaSebelumnya, Jokowi menekankan pentingnya mengedepankan demorkasi yang membangun. Hal ini ia tekankan seiringa dirinya yang melihat pertarungan saat ini lebih mengedepankan perasaan bukan gagasan.Menurut Jokowi, saat ini lebih mirip seperti sinteron lantaran lebih banyak dramanyanya ketimbang menyajikan adu gagasan.“Karena saya melihat akhir-akhir ini yang kita lihat adalah terlalu banyak dramanya, terlalu banyak drakornya, terlalu banyak sinetronnya, sinetron yang kita lihat,” kata Jokowi dalam pidatonya di HUT ke-59 Partai Golkar di Kantor DPP Partai Golkar, Jakarta Barat, Senin (6/11/2023).Jokowi menegaskan semestinya yang terjadi saat ini sejarusnya pertarungan gagasan dan pertarungan ide.“Bukan pertarungan perasaan,” kata Jokowi.Jokowi menegaskan apabila yang terjadi adalah pertarungan perasaan maka akan repot.“Kalau yang terjadi pertarungan perasaan, repot semua kita. Tidak usah saya teruskan karena nanti ke mana-mana,” kata Jokowi.Jokowi lantas mengingatkan kepada siapapun annti yang menang maupun yang kalah.“Dan ingat, mulai dari sekarang, yang kita pegang betul nanti jika menang jangan jumawa. Jika kalah juga jangan murka,” kata Jokowi.“Setelah berkompetisi saya setuju tadi Pak Prabowo, bersatu kembali, rukun kembali. Ini adalah pertandingan antaranggota keluarga sendiri, antarsesama anak bangsayang sama sama ingin membangun negara kita Indonesia,” sambungnya.(Red)",Politik
Banten Raih 3 Besar Nasional dalam Kejurnas Equestrian 2022,"SERANG– Tim Equestrian Banten atau berkuda Banten meraih prestasi yang membanggakan dalam Kejurnas Equestrian 2022 di Surabaya, Jawa Timur , 15 sampai 18 Desember 2022 lalu.Tim Equestrian Banten yang diperkuat 17 Rider dan 18 kuda andalannya berhasil meraih total 5 medali, 1 emas, 3 perak dan 1 perunggu dalam Kejurnas Equestrian 2022.Capaian 1 emas, 3 perak dan 1 perunggu membawa Tim Equestrian Banten berhasil mencapai posisi tiga besar nasional dalam Kejurnas kali ini.Prestasi Tim Equestrian Banten yang berada pada posisi ketiga klasemen medali Kejurnas Equestrian 2022 ini tentunya menunjukan kalau Pengprov Pordasi Banten siap menuju PON 2024 mendatang.“Alhamdulilah Banten berhasil mencapai posisi tiga besar nasional dalam Kejurnas Equestrian 2022 ini. Prestasi tiga besar nasional ini akan menjadi semangat untuk Tim Equestrian Banten dalam menghadapi PON 2024 mendatang,” kata Ketua Pengprov Pordasi Banten, Dedy Harianto, Selasa, (20/12/2022).Banten akan berusaha yang terbaik untuk mempertahankan pencapaian prestasi Tim Equestrian Banten dan selanjutnya akan mempersiapkan Tim Equestrian Banten untuk menuju PON 2024 yang akan datang.Dedy mengatakan, capaian 3 besar nasional pada Kejurnas kali ini adalah berkat kerja keras para rider, pelatih, official, vet dan semua pengurus Pengprov Pordasi Banten.Tak hanya itu, tambah Dedy, Pengprov Pordasi Banten juga mengucapkan banyak terimakasih kepada KONI Banten, Bupati Tangerang, Klub-klub Equestrian pendukung Tim Equestrain Banten, Horse Owner, Official, Tim Suporter, yang telah mendukung Tim Equestrian Banten sampai meraih prestasi 3 besar juara umum Kejurnas kali ini.Tak lupa juga kepada Speed Jersey dan Indo Horse yang telah mensuport apparel dan horse equipment untuk rider-rider Tim Equestrian Banten dalam Kejurnas kali ini.“Saya berharap Tim Equestrian Banten akan tetap solid sampai dengan PON 2024 nanti, supaya bisa lebih maksimal lagi mempersiapkan pelatihan dari sekarang dan berharap untuk bisa mempertahankan posisi terbaik di tiga besar nasional dan syukur-syukur bisa menjadi juara umum nasional, Aamiin,” paparnya.Dedy tetap optimis rider Tim Equestrian Banten akan berusaha maksimal saat bertanding padabajang PON 2024 mendatang.“Hasil pada Kejurnas Equestrian 2022 di Surabaya tentunya akan menjadi semangat kekuatan untuk semua Kontingen daerah yang akan tampil pada cabor berkuda untuk kategori Equestrian,” ujarnya.Ia juga menyebutkan perolehan medali Kejurnas Equestrian 2022 yang pertama diraih Jawa Barat dengan 10 medali (4 Emas, 3 Perak dan 3 Perunggu), kedua diraih Jawa Timur dengan 6 medali (2 Emas dan 4 Perunggu), ketiga diraih Banten dengan 5 medali (1 Emas, 3 Perak dan 1 Perunggu), keempat diraih Sumatera Utara dengan 3 medali (1 Emas, 1 Perak dan 1 Perunggu), kelima diraih Jawa Tengah, 2 medali (1 Emas dan 1 Perunggu), keenam diraih Lampung dengan 1 medali (1 Emas), ketujuh diraih DKI Jakarta dengan 3 medali (3 Perak), kedelapan Sulawesi Tengah (Tanpa Medali).(Dhe/Red)",Sport
"Pekan Depan, Puan dan Prabowo Bertemu di Hambalang","JAKARTA– Ketua harian DPP Gerindra Sufmi Dasco Ahmad memastikan pertemuan antara Ketua Umum Gerindra Prabowo Subianto dan Ketua DPP PDI Perjuangan Puan Maharani akan dilaksanakan pada akhir pekan ini.Adapun pertemuan tersebut rencananya dilakukan di kediaman Prabowo di Hambalang, Bogor, Jawa Barat.“Minggu,” kata Dasco di Kompleks Parlemen Senayan, Jakarta dikutip Rabu (31/8/2022).Dasco mengatakan belum mengetahui apa saja yang akan dibahas dalam agenda pertemuan tersebut.“Saya nggak tahu agenda acaranya kan dari safari politik itu apa kan saya belum tahu,” ujar Dasco.Sebelumnya, Ketua DPP PDI Perjuangan Puan Maharani dijadwalkan bertemu Ketua Umum Gerindra Prabowo Subianto pada pekan depan. Rencananya pertemuan tersebut dilakukan di kediaman Prabowo di Hambalang, Bogor.Ketua DPP PDIP Said Abdullah mengatakan bahwa Puan yang akan mengunjungi Prabowo.“Di markas besarnya Pak Prabowo di Hambalang. Insyaallah Mbak Puan akan ke sana,” kata Said di Kompleks Parlemen Senayan, Jakarta, Senin (29/8/2022).Said lantas mengungkpankan sejumlah kegiatan yang akan dilakukan Puan bersama Prabowo di pertemuan.“Tampaknya Mbak Puan yang akan mendatangi Bapak Prabowo Subianto, berkuda bersama, makan bersama, kira-kira seperti itu,” kata Said. (Red)",Politik
Kodim 0603 Lebak Tangkap Pelaku Penjual Rokok Ilegal Tanpa Cukai,"LEBAK– Diduga telah menjual belikan rokok ilegal atau rokok tanpa cukai, pria berinisial Sur (39) warga Desa Sukasari, Kecamatan Tunjung Teja, Kabupaten Serang ditangkap anggota Intel Kodim 0603/Lebak, Senin (15/5/2023).Kepala Satuan Intel (Pasintel) Kodim 0603/Lebak, Lettu Sandi Nuryadin mengatakan, penangkapan pelaku Sur (39) berawal dari anggotanya yang mendapatkan informasi dari masyarakat adanya transaksi penjualan rokok ilegal.“Setelah anggota melakukan pengintaian selama 1 minggu, anggota pun berhasil memergoki pelaku sedang menjual rokok ilegal di Kampung Kukulu, Desa Pabuaran, Kecamatan Rangkasbitung, Kabupaten Lebak, Banten,” kata Sandi, Senin (15/5/2023).Ia menjelaskan, tanpa adanya perlawanan dari pelaku, anggota berhasil menangkap pelaku beserta barang bukti berupa ribuan batang rokok ilegal tanpa cukai.“Dari tangan pelaku, anggota Intel Kodim 0603/Lebak berhasil mengamankan barang bukti berupa 132 slop rokok illegal dari berbagai merk diantaranya ST 72 Slop, Bhose 30 Slop, MK 23 Slo, Dalil 5 Slop, Bhiseh Crazy 2 Slop. Selain rokok illegal, uang sebanyak Rp 1.855.000, 1 buah tas, 1 unit handphone, 1 buah dompet, serta 1 unit mobil, yang diduga milik pelaku,” ujarnya.Sementara itu, Komandan Unit Intel Kodim 0603/lebak Letda Inf Slamet Riyad menambahkan, pelaku telah melakukan penjualan rokok ilegal tanpa cukai yang bertentangan dengan pasal 54 undang undang RI Nomor 39 tahun 2007 tentang cukai.“Saat ini pelaku berikut barang buktinya akan diserahkan ke pihak Kantor pengawasan dan pelayanan Bea Cukai Tipe Madya Pabean Merak untuk dilakukan pemeriksaan lebih lanjut,” ucapnya. (San/Red)",hukum
Mantan Asda II Kota Cilegon Minta Dibebaskan dari Kasus Korupsi Pasar...,"SERANG– Mantan Asisten Daerah (Asda) II Kota Cilegon, Tubagus Dikrie Maulawardhana yang menjadi terdakwa kasus korupsi proyek pembangunan Pasar Grogol, Kota Cilegon membacakan eksepsi atau bantahan diwakili oleh kuasa hukumnya di depan majelis hakim Pengadilan Negeri Serang.Selain Dikrie, kedua terdakwa lainnya yaitu Pejabat Pembuat Komitmen (PPK) Disperindag Kota Cilegon Bagus Ardanto dan Septer Edward Sihol kontraktor CV Edo Putra Pratama juga secara bergiliran membacakan eksepsi di Pengadilan Tipikor Serang, Senin (2/10/2023).Dikrie yang diwakili oleh salah satu kuasa hukumnya, Fina Fitria meminta kepada majelis hakim yang dipimpin Dedy Ady Saputra agar surat dakwaan JPU Kejari Cilegon ditolak. Kuasa hukum beralasan jika memang terjadi gagal pembangunan, maka yang harus bertanggung jawab adalah CV Edo Putra Pratama. “Mohon kiranya majelis hakim yang memeriksa perkara ini menyatakan surat dakwaan tidak dapat diterima(niet ontvankelijkeverklarard),”ujarnya.Selain Dikrie, terdakwa lainnya Bagus Ardanto dan Septer Edward Sihol juga meminta kepada majelis hakim agar dibebaskan dari segala dakwaan karena surat dakwaan dari JPU dianggap tidak jelas atauObscuur Libel.“Membebaskan terdakwa Bagus Ardianto demi hukum,” kata Widi Agus selaku kuasa hukum Bagus Ardanto.Sebelumnya, ketiga terdakwa didakwa melakukan korupsi proyek pembangunan Pasar Grogol tahun 2018 senilai Rp2 miliar. Bangunan pasar tersebut akhirnya tidak dapat digunakan karena dinilai tidak memenuhi standar fasilitas maupun lokasi. Berdasarkan audit dari Inspektorat Provinsi Banten kerugian negara ditaksir mencapai Rp966 juta.Perbuatan ketiga terdakwa diancam Pasal 2 ayat (1) Undang-Undang RI Nomor 20 Tahun 2001 tentang Perubahan Atas Undang-Undang Republik Indonesia Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi.(Dra/Red)",hukum
Tim Softball dan Baseball Banten Kurang Beruntung,"JAYAPURA– Tim putra softball dan baseball Banten terpaksa harus mengakui keunggulan lawan-lawannya pada pertandingan Kamis (23/9/2021). Tim softball putra menyerah 6-10 dari Papua Barat. Sedangkan tim baseball putra kalah 1-9 dari Jawa Barat.Pada laga keduanya, di Lapangan Universitas Cenderawasih, tim softball Banten sebenarnya sempat unggul 5-1 hingga inning kedua.“Sayang, para pemain kita terlalu terburu buru ingin menang. Akibatnya, banyak lemparan yang kesannya dipaksakan,” papar Steven Pattiwael, pelatih Banten.Diakuinya, para pemain tampil agak percaya diri karena sudah merasa unggul jauh dari lawan. Hal ini malahan jadi bumerang bagi tim asuhannya.Banten kembali akan bertanding melawan tuan rumah Papua, Sabtu (25/9), di tempat yang sama. Steven mengaku akan memberikan arahan kepada timnya untuk memenangi laga demi menjaga asa ke babak 4 besar.Kekalahan juga dialami tim baseball Banten dari Jawa Barat dengan skor 1-9. Seperti dikatakan asisten pelatih Banten Jersey, para pemainnya kurang bisa menyerang di laga perdananya ini.“Kita selalu dapat memukul jauh bola tapi kurang beruntung karena bola selalu jatuh ke tangan lawan,” ujar Jersey.Padahal Banten lebih dulu unggul 1-0 di laga yang berlangsung di Universitas Cenderawasih itu.Namun Jersey tetap yakin peluang Banten maju ke Super Round tetap terbuka lebar.Pada Kamis (23/9/2021) Banten juga menurunkan atletnya di cabor Terbang Layang yang berlangsung di Lanud Yohanis Kapiyau, Timika. Atlet andalan Banten Adam Bilawan turun di nomor Single Seater Ketepatan Mendarat.Adam mampu mencapai titik landing dengan sempurna di ronde 1. Adam masih harus turun dan bersaing dengan 5 peserta lainnya di ronde kedua, Jumat (24/9/2021).Adam jadi andalan Banten setelah sebelumnya pernah meraih emas di PON 2012 lalu di Riau. (Red/PON)",Sport
"Berprestasi, Atlet Sepak Takraw Pandeglang Peraih Medali POPDA X Banten Diberi...","PANDEGLANG– Bupati Pandeglang, Irna Narulita memberikan kadedeuh bagi para atlet sepak takraw asal Pandeglang peraih medali emas dan perunggu di ajang Pekan Olahraga Pelajar Daerah (POPDA) X Provinsi Banten, Senin (18/7/2022). Acara digelar di Gedung Puskesmas Pandeglang.Dalam kesempatan tersebut, Bupati menyampaikan apresiasi kepada para atlet yang telah berjuang diajang POPDA X Provinsi Banten.“Kami bangga atas prestasi para atlet POPDA X Banten, khususnya sepak takraw, karena berkat perjuangan dan kerja kerasnya mampu meraih prestasi dengan meraih medali emas dan perunggu, “kata Irna dalam keterangannya.Lebih lanjut Ia mengatakan para atlet yang berlaga di POPDA X Banten merupakan aset pemerintah daerah, kita akan terus lakukan pembinaan kepada para atlet, agar kedepan mampu melahirkan prestasi diajang-ajang olahraga, baik tingkat Provinsi maupun nasional,” ucapnya.“Pemerintah daerah mengapresiasi atas prestasi yang diraih atlet sepak takraw, prestasi ini harus dipertahankan dan ditingkatkan, sehingga kedepan para atlet ini bisa mengharumkan nama Kabupaten Pandeglang,” terang Irna.Sementara itu, Pelatih Sepak Takraw Kabupaten Pandeglang, Taufik Udo mengatakan tim sepak takraw putri asal pandeglang mampu meraih emas diajang POPDA X Banten.“Sedangkan untuk tim sepak takraw putra hanya mampu meraih medali perunggu,” kata Taufik.Ia berharap adanya pembinaan kepada para atlet sepak takraw, apalagi kurangnya event-event olahraga terutama sepak takraw.“Maka dari itu pembinaan harus terus dilakukan agar mampu melahirkan atlet sepak takraw yang unggul dan profesional, lahirnya prestasi karena adanya pembinaan yang baik,” ujarnya.(Red)",Sport
